name,description,images,location,price,propertyType,postedBy,amenities,status,createdBy,createdAt
Apartment 1,Synthetic apartment data 1 in Naga City for testing ML clustering.,['https://example.com/apartment_1.jpg'],"{'address': 'Apartment St. 1, Naga City, Camarines Sur', 'latitude': 13.61823, 'longitude': 123.192643}",2022,apartment,907f19cf-f1ba-46ad-8b6e-4c33b4c27083,"['balcony', 'security']",available,236b4bfe-06bc-4fa5-90aa-d22d553c51e0,2025-10-04 05:04:08.700524
Apartment 2,Synthetic apartment data 2 in Naga City for testing ML clustering.,['https://example.com/apartment_2.jpg'],"{'address': 'Apartment St. 2, Naga City, Camarines Sur', 'latitude': 13.619031, 'longitude': 123.176802}",1478,apartment,15344e1d-9457-4e31-aaeb-c89a932d90de,[],For sale,fcf50619-2d8b-4bab-983e-728b5591bea1,2025-10-04 05:04:08.700610
Apartment 3,Synthetic apartment data 3 in Naga City for testing ML clustering.,['https://example.com/apartment_3.jpg'],"{'address': 'Apartment St. 3, Naga City, Camarines Sur', 'latitude': 13.60232, 'longitude': 123.19933}",7040,apartment,e36fe77d-b6ec-4bcb-a60e-2f7b4411474b,[],For rent,fcfe941f-974c-4f4b-8377-88fecf651572,2025-10-04 05:04:08.700681
Apartment 4,Synthetic apartment data 4 in Naga City for testing ML clustering.,['https://example.com/apartment_4.jpg'],"{'address': 'Apartment St. 4, Naga City, Camarines Sur', 'latitude': 13.609249, 'longitude': 123.184534}",16227,apartment,945890e9-23aa-4a2c-b439-558cdd7065c9,[],For sale,9d8941dc-9f4e-4ce3-b7dc-d3a884a9336a,2025-10-04 05:04:08.700793
Apartment 5,Synthetic apartment data 5 in Naga City for testing ML clustering.,['https://example.com/apartment_5.jpg'],"{'address': 'Apartment St. 5, Naga City, Camarines Sur', 'latitude': 13.627353, 'longitude': 123.172566}",5041,apartment,908354d3-1a01-46c7-a8ca-d303ab798253,"['wifi', 'security', 'balcony']",For sale,6e556022-7336-409d-9051-834807827ee1,2025-10-04 05:04:08.700859
Apartment 6,Synthetic apartment data 6 in Naga City for testing ML clustering.,['https://example.com/apartment_6.jpg'],"{'address': 'Apartment St. 6, Naga City, Camarines Sur', 'latitude': 13.619291, 'longitude': 123.194849}",9538,apartment,a44cee6f-7b49-4585-89bf-599b924c9f69,['balcony'],fully booked,65b9d17d-dea0-42aa-aaa1-a47b7618a228,2025-10-04 05:04:08.700919
Apartment 7,Synthetic apartment data 7 in Naga City for testing ML clustering.,['https://example.com/apartment_7.jpg'],"{'address': 'Apartment St. 7, Naga City, Camarines Sur', 'latitude': 13.60217, 'longitude': 123.197031}",16525,apartment,6f2b1798-96b8-4bcc-8034-f305fb65fb35,[],available,6c7849b1-d9cf-4e1d-9638-f9671e0c1369,2025-10-04 05:04:08.700978
Apartment 8,Synthetic apartment data 8 in Naga City for testing ML clustering.,['https://example.com/apartment_8.jpg'],"{'address': 'Apartment St. 8, Naga City, Camarines Sur', 'latitude': 13.619469, 'longitude': 123.197517}",3581,apartment,4b48ab92-d894-4013-bb8e-85f32a3a2ffe,"['security', 'parking', 'balcony']",fully booked,50de5c9f-28c7-4521-b227-1ed3a34e7a88,2025-10-04 05:04:08.701083
Apartment 9,Synthetic apartment data 9 in Naga City for testing ML clustering.,['https://example.com/apartment_9.jpg'],"{'address': 'Apartment St. 9, Naga City, Camarines Sur', 'latitude': 13.638672, 'longitude': 123.17819}",13142,apartment,6f6f3ebe-b15a-49b9-8b66-7d2210fa1c38,[],available,7edf798c-2e98-4dcc-b396-60c99bdd2567,2025-10-04 05:04:08.701162
Apartment 10,Synthetic apartment data 10 in Naga City for testing ML clustering.,['https://example.com/apartment_10.jpg'],"{'address': 'Apartment St. 10, Naga City, Camarines Sur', 'latitude': 13.614612, 'longitude': 123.186853}",18234,apartment,954396ef-7e56-47d7-822b-c4eec0eb4d4b,"['aircon', 'balcony']",For rent,8699de60-efd8-4cf2-9266-89b3af06338a,2025-10-04 05:04:08.701221
